word	POS	signal	biasType	biasValue	derogatory	colloquial	forms
аморален	A	false		negative	true	false	false	0.0	0.0	аморално|аморална|аморалната|аморален|аморалното|аморалния|аморалният|аморалните|аморални
лимитиран	A	false			false	false	false	0.0	0.625	лимитирали|лимитирани|лимитиращата|лимитиралият|лимитираният|лимитиращо|лимитирала|лимитирана|лимитиращият|лимитиращи|лимитирай|лимитирания|лимитираха|лимитиралия|лимитираща|лимитиран|лимитирам|лимитирал|лимитирах|лимитиращото|лимитира|лимитират|лимитирайте|лимитиралите|лимитираме|лимитираните|лимитиращия|лимитиралата|лимитираната|лимитирате|лимитиращ|лимитираш|лимитирайки|лимитиращите|лимитираше|лимитиралото|лимитираното|лимитирахме|лимитирало|лимитирано|лимитирахте
увреден	A	true	disability	negative	false	false	false	0.0	0.0	увредиш|увредени|увредят|увредените|увредилият|увредели|увредехте|увредили|увредено|увредело|увредило|увредя|увредехме|увредилия|увредеше|увредел|увредената|увреден|увредете|увредите|увреди|увредилото|увредех|увреденият|увредилите|увредихте|увредихме|увредеха|увредилата|увредиха|увредил|увреденото|увредим|увредения|увредена|увредела|увредих|увредила
еквилибрист	N	false			false	false	false	0.0	0.625	еквилибристът|еквилибриста|еквилибрист|еквилибристи|еквилибристите
благословен	A	false			false	false	false	0.875	0.0	благословеното|благословения|благословена|благословената|благословеният|благословените|благословено|благословен|благословени
тежко	Adv	false			false	false	false	0.0	0.875	тежко
дискриминирам	V	true		negative	false	false	false	0.0	0.0	дискриминиралия|дискриминиралото|дискриминираното|дискриминирате|дискриминираше|дискриминирания|дискриминирайки|дискриминираме|дискриминиралите|дискриминирахме|дискриминиращата|дискриминираните|дискриминиращите|дискриминирал|дискриминираха|дискриминират|дискриминиралата|дискриминираната|дискриминирам|дискриминираща|дискриминирайте|дискриминиран|дискриминираш|дискриминирана|дискриминиращ|дискриминиращото|дискриминирахте|дискриминиращи|дискриминирах|дискриминирай|дискриминирани|дискриминиралият|дискриминиращия|дискриминираният|дискриминиращо|дискриминирала|дискриминирало|дискриминиращият|дискриминирано|дискриминирали|дискриминира
тършуване	N	false			false	false	false	0.0	0.625	тършуване|тършуването
различен	A	false			false	false	false	0.625	0.0	различни|различен|различно|различното|различният|различните|различна|различния|различната
медицинска сестра	N	true	gender	neutral	false	false	false	0.0	0.0	медицинска сестра
фаталистичен	A	false			false	false	false	0.125	0.75	фаталистични|фаталистичната|фаталистичният|фаталистична|фаталистичните|фаталистичния|фаталистично|фаталистичното|фаталистичен
непосилност	N	false			false	false	false	0.0	0.875	непосилност
непривикнал	A	false			false	false	false	0.0	0.75	непривикнали|непривикнал|непривикналото|непривикналия|непривикнала|непривикналата|непривикналият|непривикналите|непривикнало
скромен	A	false		positive	false	false	false	0.0	0.875	скромната|скромен|скромният|скромните|скромното|скромна|скромно|скромния|скромни
заблуден	A	false			false	false	false	0.0	0.625	заблудено|заблудения|заблуден|заблудена|заблуденото|заблуденият|заблудените|заблудената|заблудени
снизходителен	A	false			false	false	false	0.875	0.0	снизходителното|снизходителният|снизходителните|снизходителен|снизходителни|снизходителната|снизходително|снизходителния|снизходителна
недемонстративен	A	false			false	false	false	0.0	0.75	недемонстративен
гордост	N	false		positive	false	false	false	0.625	0.25	гордостта|гордост|гордости|гордостите
изтощим	A	false			false	false	false	0.625	0.0	изтощях|изтощили|изтощели|изтощилите|изтощят|изтощени|изтощеният|изтощяха|изтощило|изтощено|изтощяла|изтощеше|изтощен|изтощилата|изтощеното|изтощяхме|изтощилия|изтощите|изтощи|изтощете|изтощяхте|изтощяло|изтощилият|изтощените|изтощихме|изтощилото|изтощения|изтощихте|изтощиха|изтощил|изтощим|изтощя|изтощената|изтощила|изтощиш|изтощена|изтощих|изтощял
патологичен	A	false			false	false	false	0.125	0.625	патологични|патологичния|патологичното|патологичен|патологична|патологичната|патологичният|патологичните|патологично
неизменим	A	false			false	false	false	0.0	0.625	неизменимата|неизменимият|неизменимите|неизменимото|неизменими|неизменим|неизменимо|неизменимия|неизменима
непоносимост към лизин	N	false			false	false	false	0.0	0.625	непоносимост към лизин
нечестност	N	false			false	false	false	0.125	0.75	нечестността|нечестност
безпомощен	A	true	disability	negative	false	false	false	0.0	0.75	безпомощен|безпомощната|безпомощният|безпомощна|безпомощните|безпомощното|безпомощния|безпомощно|безпомощни
пъклен	A	false			false	false	false	0.25	0.75	пъклената|пъклено|пъкления|пъклен|пъклена|пъкленият|пъклените|пъкленото|пъклени
натраплив	A	false			false	false	false	0.0	0.625	натраплива|натрапливата|натрапливо|натрапливият|натрапливите|натрапливото|натрапливия|натрапливи|натраплив
доходен	A	false			false	false	false	0.75	0.0	доходен|доходния|доходната|доходни|доходно|доходна|доходният|доходните|доходното
умело	Adv	false			false	false	false	0.625	0.0	умело
хроничен периодонтит	N	true	disability		false	false	false	0.0	0.625	хроничен периодонтит
конфабулация	N	true	disability		false	false	false	0.0	0.625	конфабулация
уникум	N	false			false	false	false	0.75	0.0	уникумът|уникума|уникумите|уникум|уникуми
благословено	Adv	false			false	false	false	0.625	0.0	благословеното|благословения|благословена|благословената|благословеният|благословените|благословено|благословен|благословени
дилетантски	A	false			false	false	false	0.0	0.75	дилетантско|дилетантска|дилетантското|дилетантския|дилетантският|дилетантските|дилетантски|дилетантската
очаквателен	A	false			false	false	false	0.625	0.0	очаквателни|очаквателния|очаквателното|очаквателният|очаквателните|очаквателната|очаквателна|очаквателно|очаквателен
удобство	N	false			false	false	false	0.125	0.625	удобства|удобствата|удобство|удобството
неподходящ	A	false			false	false	false	0.125	0.875	неподходящия|неподходящо|неподходящи|неподходящ|неподходящата|неподходящият|неподходящите|неподходяща|неподходящото
безгрижие	N	false			false	false	false	0.375	0.625	безгрижие|безгрижието
затлъстяване	N	true	appearance	neutral	false	false	false	0.0	0.0	затлъстяванията|затлъстявания|затлъстяване|затлъстяването
проповедник	N	true	religion	neutral	false	false	false	0.0	0.0	проповедници|проповедника|проповедникът|проповедниците|проповедник
циклодеструктивна операция	N	false			false	false	false	0.0	0.625	циклодеструктивна операция
Хемодил	N	false			false	false	false	0.0	0.625	
мелодичен	A	false			false	false	false	0.625	0.0	мелодично|мелодичния|мелодична|мелодичен|мелодичното|мелодичният|мелодичните|мелодичната|мелодични
глупост	N	false		negative	false	false	false	0.0	0.0	глупостите|глупостта|глупости|глупост
незасенчен	A	false			false	false	false	0.0	0.625	незасенчения|незасенчена|незасенчено|незасенчената|незасенченият|незасенчените|незасенчен|незасенченото|незасенчени
хардкор	A	false			false	false	false	0.625	0.125	хардкор
разнообразие	N	false			false	false	false	0.625	0.125	разнообразие|разнообразието|разнообразия|разнообразията
зловонна хрема	N	true	disability		false	false	false	0.0	0.75	зловонна хрема
основен	A	false			false	false	false	0.875	0.0	основен|основна|основното|основно|основната|основни|основния|основният|основните
болестен	A	false			false	false	false	0.125	0.625	болестната|болестен|болестни|болестното|болестният|болестните|болестно|болестна|болестния
епископ	N	true	religion	neutral	false	false	false	0.0	0.0	епископ|епископите|епископи|епископът|епископа
баба	N	true	gender	neutral	false	false	false	0.0	0.0	бабите|бабо|баба|бабата|баби
безавариен	A	false			false	false	false	0.0	0.625	безаварийната|безаварийни|безавариен|безаварийния|безаварийна|безаварийно|безаварийният|безаварийните|безаварийното
несъмнен	A	false			false	false	false	0.0	0.75	несъмнено|несъмнена|несъмнен|несъмнената|несъмненото|несъмненият|несъмнените|несъмнени|несъмнения
притеснителен	A	false			false	false	false	0.0	0.75	притеснителна|притеснителния|притеснителен|притеснителното|притеснителни|притеснителната|притеснително|притеснителният|притеснителните
неравенство	N	false			false	false	false	0.0	0.625	неравенството|неравенствата|неравенства|неравенство
безжичен	A	false			false	false	false	0.0	0.625	безжично|безжичният|безжичните|безжичната|безжична|безжичен|безжичния|безжичното|безжични
за нещастие	Adv	false			false	false	false	0.0	0.875	за нещастие
неблагодарен	A	false			false	false	false	0.0	0.875	неблагодарна|неблагодарно|неблагодарния|неблагодарен|неблагодарното|неблагодарният|неблагодарните|неблагодарни|неблагодарната
приглушен	A	false			false	false	false	0.125	0.75	приглуши|приглушили|приглушено|приглушило|приглушилият|приглушеното|приглушеше|приглушен|приглушала|приглушена|приглуша|приглушила|приглушилата|приглушеният|приглушени|приглушели|приглушало|приглушил|приглушахме|приглушилия|приглушаха|приглушилите|приглушим|приглушал|приглушиха|приглушихме|приглуших|приглушете|приглушат|приглушиш|приглушите|приглушената|приглушах|приглушения|приглушените|приглушахте|приглушилото|приглушихте
благороден	A	false		positive	true	false	false	0.625	0.0	благороден|благородния|благородна|благородно|благородната|благородни|благородният|благородните|благородното
